3. 노래는 끝났다.	3. ПЕСЕНКА СПЕТА
	От деревьев вдоль набережной пахло свежей листвой, и казалось, что даже воздух, им пропитавшийся, был зеленого цвета.
강을 따라서 심어진 나무들의 어린 잎 냄새가 났다. 그 푸르름이 주변의 공기 속에 차분히 스며들어 있는 것 같았다.	На траве рука об руку сидело несколько парочек; старик выгуливал собаку.
잔디 위에는 몇 쌍의 커플이 어깨 를 서로 맞대고 있거나 노인이 개를 데리고 산책하고 있었다.	Паренек, оперевшись на мотоцикл, курил сигарету.
그리고 고등 학 생이 오토바이를 세우고 담배를 피우고 있었다.	Обычный летний вечер, как и всегда.
여느 때와 똑같은 초여름 밤이 었다. 나는 도중에 있던 가게에서 산 캔 맥주 두 개를 봉지에 담아 가지고, 그것을 들고 바다까지 걸어갔다.	Купив в забегаловке по пути пару банок пива, я с бумажным пакетом в руках спустился к реке.
	Место, где река выливалась в море, теперь походило не то на крошечную бухту, не то на оросительный канал, зачем-то засыпанный с одной стороны.
강물은 약간 후미지거나 반쯤 매립된 운하 같은 바다 로 흘러 들어가고 있었다.	От морской бухты остался обрубок метров в пятьдесят шириной...
그것은 너비 50미터 가량으로 잘려진 옛날 해안선의 흔적이었다.	На песчаном пляже все было как раньше.
모래톱은 옛날 그대로의 모래톱이었다. 낮은 파도가 일어, 둥근 나무토막을 밀어 올리고 있었다.	Мелкие волны; гладко-округлые деревянные щепки, прибитые к берегу.
바다 냄새가 났다.	Запах моря.
콘크리트 방파제에는 못이 박힌 채 있거나 스프레이 페인트로 씌어진 낙서가 옛날 그대로 남아 있었다. 50미터 정도만 남은 그리운 해안선이었다.	Глыбы бетонного волнореза с прутьями арматуры и похабными надписями краской из распылителя...
그러나 그것은 높이 10미터나 되 는 높은 콘크리트 벽 사이에 꼭 끼여 있었다.	Кусок прошлого шириной в полста метров.
그리고 벽은 그 좁은 바다를 사 이에 낀 채 몇 킬로미터나 저쪽까지 똑바로 뻗어 있었다.	Все остальное было наглухо отсечено десятиметровой бетонной стеной.
그리고 거기에는 고 층 아파트들이 즐비하게 늘어서 있었다. 바다는 50미터 정도만 남겨 놓고 완벽 하게 말살되어 있었다.	Стена эта, оставив от моря лишь узенькую полоску, уходила вдаль на несколько километров.
	За стеной же, до самого горизонта - бесформенными жилмассивами, точно стадами гигантских монстров, тянулись многоэтажки.
나는 강을 떠나 이전의 해안 도로를 따라서 동쪽으로 걸어갔다.	Море загнали в пятидесятиметровую клеть - и полностью уничтожили.
신기하게도 낡은 방파제는 아직 남아 있었다. 바다를 잃은 방파제는 왠지 기묘한 느낌을 주는 존재였다.	По магистрали, когда-то бежавшей вдоль взморья, я двинулся от реки на восток.
나는 예전에 자주 차를 세우고 바다를 바라보던 근처에서 걸음 을 멈추고 방파제에 걸터앉아 맥주를 마셨다. 바다 대신 매립지와 고층 아파트가 눈앞에 펼쳐졌다.	К моему удивлению, старый волнорез не тронули. Очень странное зрелище - волнорез, потерявший море.
	Я дошел до места, где раньше часто останавливал машину и смотрел на море, взобрался на бетонный валун, сел и, открыв банку с пивом, огляделся по сторонам.
굴곡 없이 밋밋한 아파 트들은 공중 도시를 만들려다가 그대로 방치된 불행한 다리 위에 걸쳐진 도리처 럼도, 아버지가 돌아오기를 애타게 기다리는 철부지 아이들처럼도 보였다.	Вместо моря перед глазами тянулись километры искусственного грунта и вереницы многоквартирных домов.
	Торчащие нелепыми обрубками, дома эти походили скорее на строительные леса для какого-то другого, надземного города, строить который начали, да бросили на полдороге; а еще больше - на перепуганных малолетних детей, что глядят на дорогу и никак не дождутся, когда же их родители вернутся домой.
	Прошивая силуэты домов, нити асфальтовых магистралей разбегались в разные стороны, цеплялись за широченные автостоянки, сматывались в клубок у автобусного терминала.
각 동(棟) 사이를 누비듯이 아스팔트 도로가 사방으로 둘러쳐져 있었고, 군데 군데에 거대한 주차장과 버스 터미널이 있었다.	Супермаркеты, бензоколонки, огромный парк, роскошный Дворец Собраний.
슈퍼마켓이 있고, 주유소가 있 고, 넓은 공원이 있고, 번듯한 집회장이 있었다.	Все было новехоньким - и совершенно ненатуральным.
모든 게 새롭고, 부자연스러웠 다. 산에서 운반된 흙은 매립지 특유의 으스스 추워 보이는 빛깔을 띠고 있었고, 아직 구획 정리되지 않은 부분은 바람에 실려 온 잡초로 온통 뒤덮여 있었다.	Добытая из гор земля отливала обычным для всех искусственных территорий холодно-свинцовым оттенком.
잡초는 놀랄 만한 속도로 대지에 뿌리를 내리고 있었다.	На тех же участках, что еще не попали под жернова Планового Градостроения, колыхался густой бурьян.
그것은 아스팔트 도로 를 따라서 인위적으로 옮겨진 나무들이나 잔디를 비웃기라도 하듯이 도처에 잠 입하려고 했다.	Просто поразительно, с какой быстротой на 'новых землях' принимаются сорняки.
서글픈 풍경이었다.	Как будто специально ради того, чтоб дразнить и дурачить все эти инкубаторские деревья да газоны вдоль асфальтовых улиц, переселяются они украдкой за человеком, какое бы новое место он себе ни выбрал... Прискорбное зрелище.
그러나 도대체 내가 무슨 말을 할 수 있을까?	Да только что же я на это могу сказать?
이곳에서는 이미 새로운 규칙이 세워져 새로운 게임이 시작되고 있는 것이다.	Новая игра, по новым правилам, уже началась.
아무도 그것을 멈출 수는 없다.	Остановить ее никому не под силу.
나는 대 개의 캔 맥주를 다 마시고 나서 이전에는 바다였던 매립지를 향해서 빈 깡통을 하나씩 힘껏 내던졌다.	Я допил пиво и, одну за другой, с силой зашвырнул пустые банки туда, где когда-то плескалось море.
빈 깡통은 바람에 흔들리는 잡초가 있는 바 닷속으로 빨려 들어갔다.	Те озадаченно покрутились в воздухе - и сгинули в волнах колыхавшегося бурьяна.
그리고 나는 담배를 피웠다.	Я закурил.
	Уже докуривая сигарету, я вдруг заметил, что какой-то человек движется в мою сторону с фонариком в руке.
담배를 다 피워 갈 때 손전등을 든 사내가 천천히 이쪽으로 걸어오는 것이 보 였다.	То был мужчина лет сорока в серой рубашке, серых брюках и серой фуражке.
	Судя по всему, полицейский из Службы охраны государственных объектов.
사내는 마흔 살 안팎으로 보였고, 회색 셔츠와 회색 바지에 같은 색 모자 를 쓰고 있었다.	- Вы сейчас что-то бросали, не так ли? - спросил он, остановившись рядом.
틀림없이 지역시설의 경비원일 것이다.	- Бросал, - подтвердил я.
아까 뭔가를 던졌지요?'	- Что бросали?
라고 사나이는 내 곁에 서서 그렇게 물었다.	- Круглые металлические предметы.
그런데요.'	Внутри пустые.
하고 나는 대답했다. '무엇을 던졌지요?'	Отверстие с одной стороны.
둥글고, 금속으로 되어 있고, 뚜껑이 있는 거요' 라고 나는 대답했다.	Полицейский, похоже, слегка озадачился.
경비원은 조금 당황한 것 같았다.	- Зачем бросали?
왜 던졌지요?'	- Да низачем!
이유 같은 건 없어요.	Уже двенадцать лет прихожу сюда и бросаю.
12년 전부터 계속 던지고 있지요.	Иногда - по полдюжины за раз.
반다스를 한꺼번에 던진 적도 있는데 아무도 시비를 걸지는 않았거든요.'	И никто до сих пор не жаловался.
옛날은 옛날이요.	- То было раньше.
지금 이곳은 시유지고, 무단으로 시유지에 쓰레기를 버리 는 건 금지되어 있어요.'	А сейчас здесь - муниципальная территория.
경비원은 이렇게 말했다. 나는 잠깐 동안 가만히 있었다.	Бросать мусор на муниципальной территории запрещается.
몸 속에서 순간 뭔가가 떨리더니 멎었다.	Я выдержал паузу.
	Что-то задрожало во мне на какую-то долю секунды, но тут же унялось.
	- Вся проблема в том, - сказал я полицейскому, - что в ваших словах и правда скрывается некий смысл.
문제는 당신 말이 다 맞는다는 것이군요' 라고 나는 말했다.	- Так в Законе написано, - сказал полицейский.
내 말에 사내는 '법으로 그렇게 정해져 있어요' 라고 말했다.	Я вздохнул и достал из кармана сигареты.
나는 한숨을 쉬고 호주머니에서 담배를 꺼냈다.	- И что теперь делать?
어떻게 하면 좋겠소?' '주워 오라고 할 수는 없겠지요.	- Ну, не буду же я требовать, чтоб вы лезли и подбирали.
어두운 데다가 비도 뿌리기 시작했으니.	Темно уже, да вот и дождь собирается...
그 러니까 이제 다시는 뭘 던지지 마시오.' '다시는 던지지 않겠소.	Поэтому - чтобы больше предметов не бросали!
잘 가시오' 라고 나는 말했다.	- Больше не буду, - пообещал я.
경비원도 '잘 가시오' 라고 하며 갔다.	- Спокойной ночи.
나는 방파제 위에 벌렁 누워서 하늘을 올려다보았다.	- Спокойной ночи, - сказал полицейский и растворился в сумерках.
경비원이 말한 것처럼 슬슬 가랑비가 내리기 시작했다.	Свернувшись калачиком на бетоне волнореза, я уставился в небо.
나는 담배 한 개비를 더 피우고 조금 전 경비 원과 나눴던 대화를 다시 떠올려 보았다.	Как заметила наблюдательная полиция, накрапывал дождик.
	Закурив новую сигарету, я прокрутил в голове свой диалог с полицейским.
10년 전의 나는 좀더 터프 했던 것 같다.	Мне показалось, что десять лет назад я был явно покруче...
아니, 그런 느낌이 들었던 것뿐인지도 모른다. 아무래도 좋다.	Хотя нет, - скорее всего, просто показалось.
강을 따라 난 도로로 되돌아와 택시를 잡아탔을 무렵에는 안개 같은비로 바뀌 어 있었다.	Что так, что эдак - разницы никакой.
나는 호텔로 가자고 말했다.	Когда, возвратившись к реке, я поймал на набережной такси, дождь висел в воздухе, точно густой туман. - В отель! - сказал я водителю.
초로의 운전사는 '여행중이신가요' 라고 물었다.	- Путешествуете? - поинтересовался тот.
네.'	- Ага...
여기는 처음이세요?'	- Первый раз здесь?
두 번째예요' 라고 나는 대답했다.	- Второй, - ответил я, не задумываясь.
