一 张大哥是一切人的大哥。	1 Чжан Дагэ - всем и каждому брат.
她去切羊肉，是的，张大哥不用仆人；遇到家中事忙，他可以借用衙门里一个男仆。	Если накопится множество дел, можно пригласить слугу из учреждения.
仆人不怕，而且有时候欢迎，瞎炸烟而实际不懂行的主人；干打雷不下雨是没有什么作用的。 可是张大哥永远不瞎炸烟，而真懂行。	Слуги не боятся хозяев, которые ни в чем не разбираются и попусту шумят, даже любят их.
他只要在街上走几步，得，连狐皮袍带小干虾米的价钱便全知道了；街上的空气好像会跟他说话似的。	Когда гром гремит, а дождя нет - не велика беда. Но не таков Чжан Дагэ.
没有仆人能在张宅作长久了的。	Он во всем разбирается.
张大哥并非不公道，不体恤；正是因为公道体恤，仆人时时觉得应当跳回河或上回吊才合适。	Только выйдет на улицу - и уже знает, сколько стоит халат на лисьем меху или сушеные креветки Он как бы впитывает в себя атмосферу улицы.
一切家事都是张大嫂的。 她永远笑得那么响亮。	Слуги в его доме не задерживаются - не потому, что он несправедливый или черствый.
老李不能不佩服她。	Напротив.
	Слуги постоянно чувствуют, что им нужно делать что-то из ряда вон выходящее, чтобы быть достойными хозяина, например, прыгнуть в реку или затянуть петлю на шее.
	Весь дом держится на госпоже Чжан, Лао Ли не может не преклоняться перед ней, хотя она чересчур громко смеется.
可是，想了一会儿之后，他微微的摇头了。	Но, поразмыслив, он чуть заметно качает головой.
不对！	Нет-нет!
这样的家庭是一种重担。	Такая семья - это тяжкое бремя!
只有张大哥——常识的结晶，活物价表——才能安心乐意担负这个，而后由担负中强寻出一点快乐，一点由擦桌子洗碗切羊肉而来的快乐，一点使女子地位低降得不值一斤羊肉钱的快乐。	Только кладезь знаний и ходячий ценник Чжан Дагэ может спокойно нести это бремя, да еще находить радость в таких мелочах, как уборка, мытье посуды, стряпня, унижающие его жену.
张大嫂可怜！	Госпожу Чжан можно только пожалеть.
	
张大哥回来了。 手里拿着四个大小不等的纸包，腋下夹着个大包袱。	5 Наконец пришел Чжан Дагэ - с четырьмя свертками в руках да еще одним под мышкой.
不等放下这些，设法用左手和客人握手。	Не кладя свертки, он умудрился протянуть гостю левую руку.
他的握手法是另成一格：永远用左手，不直着与人交握，而是与人家的手成直角，像在人家的手心上诊一诊脉。	Здоровался он тоже по-особому: протягивал левую руку так, словно собирался пощупать пульс.
老李没预备好去诊张大哥的手心，来回翻了翻手，然后，没办法，在裤子上擦了擦手心的汗。	Лао Ли не нравилось такое рукопожатие, но что поделаешь!
“对不起，对不起！	Тысяча извинений!
	Очень виноват! - сыпал между тем Чжан Дагэ. - Давно пришел?
早来了吧？	Садись, садись!
坐，坐下！ 我就是一天瞎忙，无事忙。	День-деньской хлопочу - и все попусту.
坐下。	Да ты садись!
有茶没有？ “	Чай тебе налили?
老李忙着坐下，又忙着看碗里有茶没有，没说出什么来。 张大哥接着说：“我去把东西交给她，”用头向厨房那边点着。	Лао Ли поспешил присесть и так же быстро посмотрел, есть ли в чашке чай, но ничего не сказал.
“就来；喝茶，别客气！”	А Чжан Дагэ продолжал:
张大哥比他多着点什么，老李想。	Пойду отдам ей покупки. - Он кивнул головой в сторону кухни. - Я мигом.
什么呢？	А ты пей чай!
什么使张大哥这样快活呢？	Не стесняйся!
拿着纸包上厨房，这好像和“生命”，“真理”，等等带着刺儿的字眼离得过远。	Есть в Чжан Дагэ, подумал Лао Ли, что-то такое, чего нет в нем самом.
纸包，瞎忙，厨房，都显着平庸老实，至好也不过和手纸，被子，一样的味道。	Что доставляет этому человеку радость? Свертки, кухня?
可是，设若他自己要有机会到厨房去，他也许不反对。	Но это слишком далеко от таких возвышенных понятий, как «жизнь», «истина».
	Свертки, заботы, кухня - слова обыденные, простые, такие же, как туалетная бумага, одеяло.
	Но появись у него самого возможность оказаться на кухне, он бы, пожалуй, не возражал.
火光，肉味，小猫喵喵的叫。	Огонь в очаге, запах мяса, мяуканье кошек.
也许这就是真理，就是生命。	Может быть, именно в этом истина?
谁知道！	Кто знает!
“老李，”张大哥回来陪客人说话儿，“今儿个这点羊肉，你吃吧，敢保说好。	Лао Ли! - Чжан Дагэ вернулся к гостю. - Сегодня я угощу тебя бараниной, уверен, тебе понравится.
连卤虾油都是北平能买得到的最好的。	Соус из соленых креветок тоже великолепный, лучшего не найдешь в Пекине.
我就是吃一口，没别的毛病。	Я отведал, вкусно.
我告诉你，老李，男子吃口得味的，女人穿件好衣裳，哈哈哈，“他把烟斗从墙上摘下来。	Ты ведь знаешь, женщины любят принарядиться, а мужчины поесть, - засмеялся хозяин, снимая трубку со стены.
墙上一溜挂着五个烟斗。	Их висело там целых пять штук.
张大哥不等旧的已经不能再用才买新的，而是使到半路就买个新的来；新旧替换着用，能多用些日子。	Чжан Дагэ не ждал, пока трубка выйдет из строя.
张大哥不大喜欢完全新的东西，更不喜欢完全旧的。	Попользуется чуть-чуть и уже подбирает новую.
不堪再用的烟斗，当劈柴烧有味，挽洋火人家不要，真使他想不出办法来。	И курил то из старой, то из новой, - так их надолго хватало.
老李不知道随着主人笑好，还是不笑好；刚要强嘴，觉得不好意思，舐了舐嘴唇。	Чжан Дагэ не любил очень новых нощей, равно как и очень старых.
他心里还预备着等张大哥审他，可是张大哥似乎在涮羊肉到肚内以前不谈身家大事。	Совсем негодные трубки он пускал на растопку. Куда их девать?
是的，张大哥以为政府要能在国历元旦请全国人民吃涮羊肉，哪怕是吃饺子呢，用不着下命令禁用旧历。	Даже на спички не «меняешь. Лао Ли не знал, смеяться ему вместе с хозяином или воздержаться.
肚子饱了，再提婚事，有了这两样，天下没法不太平。	Хотел было заговорить, но счел неудобным и лишь облизнул губы.
	Он надеялся, что Чжан Дагэ сейчас начнет задавать ему вопросы, но тот, видимо, не собирался заводить разговор о важных делах до того, как поест баранины.
	Чжан Дагэ и в самом деле считал, что, если бы правительство в первый день Нового года угощало подданных пареной бараниной или хотя бы пельменями, не пришлось бы заменять лунный календарь солнечным [[6]: #_ednref6 Заменять лунный календарь солнечным… - Солнечный календарь был официально введен в Китае после буржуазно-демократической революции в 1911 г. Однако в народе до сих пор имеет хождение и старый, лунный, календарь.]. Все наедятся досыта, поговорят о свадьбах - и в Поднебесной воцарится покой.
	
六 自火锅以至葱花没有一件东西不是带着喜气的。	6 И баранина и мелко нарезанный лук - все было на редкость вкусным. Лао Ли никогда еще не ел так много и с таким удовольствием.
老李向来没吃过这么多这么舒服的饭。	Именно удовольствием.
舒服，他这才佩服了张大哥的生命观，肚子里有油水，生命才有意义。	Он даже проникся почтением к жизненному кредо Чжан Дагэ.
上帝造人把肚子放在中间，生命的中心。	Когда человек вкусно поест - жизнь обретает смысл.
他的口腔已被羊肉汤——漂着一层油星和绿香菜叶，好像是一碗想象的，有诗意的，什么动植物合起来的天地精华——给冲得滑腻，言语就像要由滑车往下滚似的。	Создавая человека, всевышний поместил желудок в самой середине. И вот теперь там суп с бараниной - жирные блестки, зеленый укроп - сама мечта, лирика.
张大哥的左眼完全闭上了，右眼看着老李发烧的两腮。	Все лучшее, что создала природа, - там в изобилии, и слова теперь сами слетают с языка.
张大嫂作菜，端菜，让客人，添汤，换筷子——老李吃高了兴，把筷子掉在地上两回——自己挑肥的吃，夸奖自己的手艺，同时并举。	Прищурив левый глаз, Чжан Дагэ правым поглядывал на раскрасневшегося Лао Ли.
	Госпожа Чжан подкладывала гостю баранины, подливала суп, меняла палочки для еды - Лао Ли ел с таким наслаждением, что дважды выронил их, - выбирала кусочки пожирнее, хвалила себя за ловкость, и все это одновременно.
作得漂亮，吃得也漂亮。	Она не только хорошо готовила, но и очень красиво ела.
	А когда с едой было покончено, убрала все так быстро, будто у нее было несколько пар рук.
大家吃完，她马上就都搬运了走，好像长着好几只手，无影无形的替她收拾一切。	Не держи она в руках тарелки, чашки, стаканы и блюда, Лао Ли принял бы ее за волшебницу.
设若她不是搬运着碟碗杯盘，老李几乎以为她是个女神仙。	После обеда хозяин предложил гостю манильскую сигару.
	Лао Ли не знал, что с ней делать, но, чтобы не ударить в грязь лицом, затянулся разок, намереваясь в дальнейшем лишь стряхивать пепел.
张大哥给老李一支吕宋烟，老李不晓得怎么办好；为透着客气，用嘴吸着，而后在手指中夹着，专预备弹烟灰。	Тем временем Чжан Дагэ раскурил свою трубку, и аромат табака смешался с запахом баранины.
张大哥点上烟斗，烟气与羊肉的余味在口中合成一种新味道，里边夹着点生命的笑意，仿佛是。	Это было так ново и так прекрасно! - Лао Ли, - не вынимая трубки изо рта, с улыбкой произнес Чжан Дагэ.
“老李，”张大哥叼着烟斗，由嘴的右角挤出这么两个字，与一些笑意，笑的纹缕走到鼻洼那溜儿便收住了。	К носу побежали смешинки. На этот раз гость был готов к беседе.
老李预备好了，嘴中的滑车已加了油。	К ней расположила вкусная еда.
他的嘴唇动了。	Губы его дрогнули.
张大哥把刚收住的笑纹又放松，到了眼角的附近。	Смешинки Чжан Дагэ переместились к уголкам глаз.
老李的牙刚稍微与外面的空气接触，门外有人敲门，好似失了火的那么急。	Лао Ли совсем было приготовился заговорить, но в это время раздался стук в дверь.
“等等，老李，我去看一眼。”	Стучали так, словно начался пожар.
不大一会儿，他带进一个青年妇人来。	Подожди минутку, Лао Ли. Пойду взгляну!
	Через некоторое врем» Чжан Дагэ возвратился с молодой женщиной.
